Zc,E0Tn,betaTn,elastic
-5871.31351433,0.58392018,0.00053482,0.58392015
-5682.93099255,0.66108511,0.00060550,0.66108508
-5701.18842483,0.65352744,0.00059858,0.65352741
-5513.93130760,0.64322894,0.00058914,0.64322890
-5289.99433000,0.73553176,0.00067369,0.73553172
-5470.79545054,0.70092715,0.00064199,0.70092711
-5286.36661414,0.74855093,0.00068563,0.74855089
-5374.59270396,0.72176547,0.00066108,0.72176543
-5299.12218279,0.75219809,0.00068895,0.75219805
-5321.29740406,0.74716348,0.00068435,0.74716344
-5336.85686227,0.74917813,0.00068623,0.74917809
-5345.46613834,0.75146956,0.00068829,0.75146952
-5354.26873840,0.75021883,0.00068714,0.75021879
-5383.48882095,0.74691907,0.00068412,0.74691903
-5408.79673507,0.74344996,0.00068095,0.74344992
-5410.84092842,0.74738823,0.00068455,0.74738819
-5462.42567315,0.73371789,0.00067203,0.73371785
-5435.87139375,0.74821664,0.00068531,0.74821660
-5444.88300967,0.75028501,0.00068723,0.75028497
-5456.19389625,0.75196707,0.00068877,0.75196703
-5464.21244613,0.74976104,0.00068672,0.74976100
-5484.54415970,0.74730699,0.00080169,0.74730694
-5491.93522622,0.74982464,0.00068678,0.74982460
-5504.49026553,0.75113121,0.00068798,0.75113118
-5527.23339542,0.74723262,0.00068443,0.74723259
-5532.18215826,0.75167558,0.00068848,0.75167554
-5553.94071907,0.74860436,0.00069273,0.74860432
-5547.32383782,0.75385069,0.00069049,0.75385065
-5571.77167901,0.75088815,0.00068775,0.75088811
-5567.98223203,0.74810004,0.00068786,0.74810000
-5550.26473963,0.75163728,0.00068844,0.75163724
-5545.04163852,0.74872575,0.00068577,0.74872571
-5526.66766277,0.75048836,0.00068739,0.75048832
-5523.97468383,0.74818460,0.00068528,0.74818456
-5506.13994854,0.75061997,0.00068751,0.75061994
-5504.80141478,0.74836316,0.00069490,0.74836312
-5492.03617628,0.74963121,0.00068660,0.74963117
-5473.99295087,0.75278029,0.00068950,0.75278026
-5467.38062134,0.74570028,0.00068301,0.74570024
-5471.05310235,0.74502524,0.00068238,0.74502520
-5456.08078557,0.74792351,0.00070633,0.74792347
-5440.26578457,0.75097741,0.00068784,0.75097737
-5433.72368033,0.75040529,0.00069050,0.75040525
-5411.67871855,0.75269169,0.00068942,0.75269165
-5427.59644507,0.74359333,0.00068110,0.74359329
-5404.37219315,0.75114390,0.00068945,0.75114386
-5392.28784654,0.74894512,0.00068597,0.74894508
-5381.13392083,0.74839807,0.00068547,0.74839803
-5515.73595750,0.72094202,0.00066034,0.72094198
